gene_id,SYMBOL,baseMean,log2FoldChange,pvalue,padj
ENSRNOG00000014426,Lox,1389.766413,1.229538432,4.15E-12,8.04E-09
ENSRNOG00000003897,Col1a1,59522.31142,1.58936043,1.14E-11,1.63E-08
ENSRNOG00000014288,Fn1,12693.83781,1.380364401,1.57E-09,9.52E-07
ENSRNOG00000001414,Serpine1,1342.498755,1.225922127,8.81E-08,2.75E-05
ENSRNOG00000011292,Col1a2,118.1595349,1.340398439,1.17E-07,3.53E-05
ENSRNOG00000003357,Col3a1,102240.6514,0.7396365,1.82E-06,0.000400644
ENSRNOG00000012660,Postn,7052.282968,0.685037672,0.000212922,0.011441511
ENSRNOG00000013589,Cxcl12,1182.618663,0.625125621,0.000636268,0.022068682
ENSRNOG00000058039,Acta2,3137.658513,1.556445136,0.003057747,0.053314987
ENSRNOG00000017539,Mmp9,19.5381587,2.224765375,0.004688414,NA
ENSRNOG00000007036,Tgfbr1,242.1608786,0.547198158,0.005651323,0.073604105
ENSRNOG00000030187,Mmp12,250.7022195,1.978560686,0.007163288,0.08491232
ENSRNOG00000020652,Tgfb1,651.7261047,0.507753618,0.013180903,0.113908783
ENSRNOG00000016695,Mmp2,7279.195907,0.463852093,0.014941894,0.122559068
ENSRNOG00000010208,Timp1,1030.937474,0.587871949,0.015377063,0.124184583
ENSRNOG00000016758,Loxl2,338.0553141,0.382160648,0.023222753,0.154519306
ENSRNOG00000009867,Tgfb3,1562.57022,0.418055046,0.055622974,0.251878107
ENSRNOG00000010507,Mmp7,6.87680969,2.065182284,0.060612629,NA
ENSRNOG00000032626,Mmp3,1.20282344,3.800989438,0.12448747,NA
ENSRNOG00000018140,Smad2,196.1202879,0.195805541,0.354481428,0.664532504
ENSRNOG00000013265,Tgfbr2,446.5037702,-0.193472258,0.481634983,0.764384009
ENSRNOG00000002418,Tgfb2,447.550451,-0.149567918,0.53832832,0.801201001
ENSRNOG00000033143,Timp2,3.829929036,-0.458860476,0.689998534,NA
ENSRNOG00000008620,Smad3,208.4679633,-0.054707742,0.761454228,0.915517382
ENSRNOG00000018359,Smad7,305.2393016,0.049192611,0.782125872,0.924123672
ENSRNOG00000051965,Smad4,203.3217848,-0.017062597,0.927358181,0.976501101
